Comida chatarra,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Doritos Nacho,1 bolsa individual (50g),4,8,32,220,,,,
Takis Fuego,1 bolsa individual (50g),3,9,35,230,,,,
Chetos Flamin Hot,1 bolsa individual (50g),3,8,33,210,,,,
Maruchan Camaron,1 vaso (64g),8,14,45,330,,,,
Nissin Camaron,1 vaso (64g),8,13,44,320,,,,
Sabritas Original,1 bolsa individual (50g),4,11,32,230,,,,
Rufles Queso,1 bolsa individual (50g),4,12,30,240,,,,
Churrumais,1 bolsa individual (50g),3,7,35,200,,,,
,,,,,,,,,
Tacos,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Taco de Carne Asada,1 taco (70g),12,10,16,180,,,,
Taco de Al Pastor,1 taco (80g),14,12,18,220,,,,
Taco de Carnitas (Maciza),1 taco (75g),12,18,16,280,,,,
Taco de Bistec,1 taco (70g),12,8,16,170,,,,
Taco de Chorizo,1 taco (65g),10,15,15,230,,,,
Taco de Pescado (empanizado),1 taco (100g),13,12,22,240,,,,
Taco de Cochinita Pibil,1 taco (80g),12,11,18,210,,,,
Taco de Lengua,1 taco (70g),15,10,15,190,,,,
Taco de Suadero,1 taco (70g),13,16,16,240,,,,
,,,,,,,,,
Tortas,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Torta de Jamon,1 pieza (250g),20,17,60,480,,,,
Torta de Milanesa de Res,1 pieza (300g),28,30,65,650,,,,
Torta de Pierna,1 pieza (250g),22,20,62,520,,,,
Torta de Salchicha,1 pieza (250g),18,22,60,500,,,,
Torta de Cubana,1 pieza (350g),35,40,80,800,Incluye milanesa, jamón, queso, huevo
Torta de Pata,1 pieza (250g),15,12,58,380,,,,
,,,,,,,,,
Arroces,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Arroz Rojo/Jardinero,1 taza (100g),4,6,45,250,,,,
Arroz a la Poblana,1 taza (100g),5,7,46,270,Con elote, crema y queso,,
Arroz a la Mexicana,1 taza (100g),4,6,45,250,Con verduras,,,
,,,,,,,,,
Guisados,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Pollo en Salsa Verde,1 taza (200g),28,15,12,300,,,,
Bistec en Salsa Roja,1 taza (200g),32,20,10,350,,,,
Chiles Rellenos de Picadillo,1 pieza (200g),18,27,33,420,,,,
Higado encebollado,1 taza (200g),28,12,12,270,,,,
Calabazas Guisadas,1 taza (200g),6,10,22,190,,,,
Chicharron en Salsa Verde,1 taza (200g),20,25,8,320,,,,
Tinga de Pollo,1 taza (200g),25,12,15,260,,,,
,,,,,,,,,
Aguas de sabor,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Agua de Horchata,1 vaso (480ml),1,3,55,240,,,,
Agua de Jamaica,1 vaso (480ml),0,0,30,120,,,,
Agua de Tamarindo,1 vaso (480ml),0,0,45,180,,,,
Agua de Limon,1 vaso (480ml),0,0,25,100,,,,
,,,,,,,,,
Atoles,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Atole de Vainilla,1 vaso (480ml),6,4,50,250,,,,
Atole de Chocolate,1 vaso (480ml),6,6,55,290,,,,
Champurrado,1 vaso (480ml),7,7,60,330,,,,
,,,,,,,,,
Tamales,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Tamal Verde de Pollo,1 pieza (120g),12,20,35,380,,,,
Tamal de Mole con Pollo,1 pieza (120g),12,22,38,400,,,,
Tamal de Rajas con Queso,1 pieza (120g),10,18,36,350,,,,
Tamal de Dulce,1 pieza (120g),6,15,50,350,,,,
Tamal Oaxaqueno,1 pieza (150g),15,25,40,450,,,,
,,,,,,,,,
Pozoles,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Pozole Verde de Pollo,1 plato (400g),28,15,40,400,,,,
Pozole Rojo de Cerdo,1 plato (400g),32,20,40,450,,,,
Pozole Blanco de Pollo,1 plato (400g),27,13,40,370,,,,
Pozole de Guerrero,1 plato (400g),28,16,40,390,,,,
,,,,,,,,,
Cemitas,,,,,,,,,
Platillo_Especifico,Porcion_Estándar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Cemita de Milanesa de Res,1 pieza (300g),35,32,58,650,,,,
Cemita de Milanesa de Puerco,1 pieza (300g),33,35,58,660,,,,
Cemita de Pata,1 pieza (300g),18,15,60,430,,,,
Cemita de Jamon,1 pieza (300g),22,20,62,500,,,,
,,,,,,,,,
Sopas,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Sopa de Fideo Seco,1 taza (200g),6,12,40,280,,,,
Sopa de Monio,1 taza (200g),5,11,38,260,,,,
Sopa de Codito,1 taza (200g),5,10,37,250,,,,
Sopa de Letras,1 taza (200g),5,10,37,250,,,,
Sopa de Tortilla,1 taza (250g),10,15,35,300,,,,
Sopa de Lima,1 taza (250g),18,10,22,250,,,,
,,,,,,,,,
Antojitos,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Chalupas,3 piezas (150g),12,18,35,350,,,,
Tostadas de Pata,2 piezas (120g),14,12,30,280,,,,
Tostadas de Jamon,2 piezas (120g),12,10,32,260,,,,
Tostadas de Queso,2 piezas (120g),10,12,30,260,,,,
Pelonas,2 piezas (120g),13,15,28,290,,,,
Molletes,2 piezas (200g),15,12,45,340,Pan bolillo con frijoles y queso derretido,,,
Enchiladas Rojas,3 piezas (300g),20,22,55,480,,,,
Enchiladas Verdes,3 piezas (300g),19,20,52,450,,,,
Enfrijoladas,3 piezas (300g),18,15,50,380,,,,
Entomatadas,3 piezas (300g),17,14,48,360,,,,
,,,,,,,,,
Cremas,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Crema de Elote,1 taza (200g),8,20,30,350,,,,
Crema Poblana,1 taza (200g),10,22,25,370,,,,
Crema de Queso,1 taza (200g),12,25,20,380,,,,
Crema de Champinones,1 taza (200g),9,18,22,320,,,,
,,,,,,,,,
Huevos,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Huevos Rancheros,2 piezas (150g),13,20,30,350,,,,
Huevos a la Mexicana,2 piezas (120g),12,15,8,220,,,,
Huevos con Jamon,2 piezas (120g),16,16,4,230,,,,
Huevos con Salchicha,2 piezas (120g),14,18,5,240,,,,
Huevos Revueltos Solos,2 piezas (100g),12,12,2,160,,,,
Huevos Hervidos,2 piezas (100g),12,10,1,150,,,,
,,,,,,,,,
Carnes empanizadas,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Milanesa de Res,1 pieza (150g),32,22,18,400,,,,
Milanesa de Pollo,1 pieza (150g),30,20,18,380,,,,
Milanesa de Puerco,1 pieza (150g),28,25,18,420,,,,
,,,,,,,,,
Desayunos basicos,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Huevo con Tocino,2 huevos + 50g tocino,25,30,2,380,,,,
Waffles,2 piezas (150g),10,15,60,400,,,,
Hot Cakes,3 piezas (180g),9,12,65,390,,,,
Cereal con Leche,1 taza (50g cereal + 120ml leche),10,7,55,300,,,,
,,,,,,,,,
Pastas,,,,,,,,,
Platillo_Especifico,Porcion_Estandar,Proteinas_g,Lipidos_g,HC_g,Energia_Kcal,Notas,,,
Pasta Poblana,1 plato (250g),15,20,65,480,Con crema, elote, chile poblano,
Pasta Italiana,1 plato (250g),12,15,70,450,Con jitomate y albahaca,,,
Pasta con Pesto,1 plato (250g),13,25,60,520,,,,
Espagueti Rojo,1 plato (250g),10,12,68,420,,,,
